
2025/01/21 (23:55:10) | ===> btop++ v.1.4.0
2025/01/21 (23:55:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/22 (00:16:44) | ===> btop++ v.1.4.0
2025/01/22 (00:16:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/22 (00:17:05) | ===> btop++ v.1.4.0
2025/01/22 (00:17:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/23 (11:49:02) | ===> btop++ v.1.4.0
2025/01/23 (11:49:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (17:30:26) | ===> btop++ v.1.4.0
2025/02/06 (17:30:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (15:31:07) | ===> btop++ v.1.4.0
2025/04/07 (15:31:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (15:40:57) | ===> btop++ v.1.4.0
2025/04/07 (15:40:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/21 (17:41:09) | ===> btop++ v.1.4.0
2025/04/21 (17:41:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/21 (19:29:49) | ===> btop++ v.1.4.0
2025/04/21 (19:29:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/24 (23:58:49) | ===> btop++ v.1.4.0
2025/04/24 (23:58:49) | WARNING: Intel GPU: Failed to initialize PMU
